STRIKER,Batting Postion
M Joseph,1
M Kpaka,6
M Labuschagne,4
M Leporoporo,11
M Levitt,1
M Magagula,8
M Markande,9
M Mooketsi,9
M Mwamadi,7
M Pathirana,10
M Podosky,6
M Prasidh Krishna,10
M Shahrukh Khan,6
M Shumba,6
M Simmons,8
M Spoors,2
M Syahadat Ramli,6
M Taniyama,8
M Taylor,1
M Theekshana,9
M van Lingen,1
M Vijay,2
M Vohra,3
M Yunusu Issa,8
MA Agarwal,3
MA Baig,4
MA Jones,2
MA Leask,6
MA Starc,9
MA Wood,10
Maaz Khan,3
Mahedi Hasan,7
Mahmudul Hasan Joy,2
Mahmudullah,6
Mandeep Singh,3
Manpreet Singh,5
Mazharul Islam,3
MB Kruger,2
MC Henriques,4
MD du Preez,6
MD Gunathilaka,2
MD Patel,2
MD Shanaka,6
MDKJ Perera,2
Meet Bhavsar,2
Mehedi Hasan Miraz,6
Mehran Khan,6
MG Bracewell,6
MG Erasmus,4
MH Cross,4
Mirza Baig,2
MJ Guptill,1
MJ Henry,9
MJ Richardson,3
MJ Santner,7
MJ Swepson,10
MK Anafie,6
MK Lomror,5
MK Pandey,3
ML Castillo,6
MM Ali,5
MM Sharma,9
MNK Fernando,3
MNM Aslam,6
MO Jones,6
MO Kain,6
MO Kitunda,5
Mohamed Khan,7
Mohamed Shafeeq,10
Mohameed Taiwo,8
Mohammad Aadil Alam,6
Mohammad Boota,6
Mohammad Ghazanfar,10
Mohammad Hafeez,3
Mohammad Haris,3
Mohammad Hasnain,10
Mohammad Ishaq,5
Mohammad Mithun,4
Mohammad Nabi,5
Mohammad Nadeem,7
Mohammad Naim,1
Mohammad Nawaz,6
Mohammad Nawaz (3),7
Mohammad Rizwan,2
Mohammad Saifuddin,8
Mohammad Shahzad,1
Mohammad Wasim,9
Mohammed Faraazuddin,8
Mohammed Irshad,5
Mohammed Shami,9
Mohammed Siraj,10
Mohit Rathee,11
Mohsin Khan,10
Mosaddek Hossain,7
MP Biddappa,4
MP Breetzke,2
MP O'Dowd,2
MP Stoinis,4
MPS Cheema,7
MR Adair,8
MR Marsh,4
Mrittunjoy Chowdhury,8
MRJ Watt,9
MS Chapman,5
MS Dhoni,5
MS Graham,5
MS Wade,3
Muhammad Amin,2
Muhammad Amir,4
Muhammad Jabir,11
Muhammad Jawadullah,10
Muhammad Khan,2
Muhammad Murad,7
Muhammad Nadir,7
Muhammad Usman,5
Muhammad Wafiq,9
Muhammad Younis,2
Mujeeb Ur Rahman,10
Mukesh Choudhary,11
Mukesh Kumar,11
Munim Shahriar,1
Musa Shaheen,6
Mushfiqur Rahim,5
Muslim Yar,8
Mustafizur Rahman,10
Mustapha Yusuf,9
Muzammil Shahzad,7
MV Matsau,9
MW Forde,10
MW Parkinson,11
MW Short,3
N Burger,9
N Davin,2
N Dickwella,2
N Dutta,7
N Jagadeesan,3
N Krishna,4
N Mugabe,2
N Naranbaatar,1
N Nipiko,2
N Pokana,10
N Pooran,4
N Rana,4
N Thushara,11
N Vanua,7
N Vimukthi,10
N Wadhera,5
N Wijesekera,3
NA Greenwood,3
NA Rock,6
NA Saini,9
Naeem Gull,4
Najibullah Zadran,6
Nangeyalia Kharote,8
Naseem Khushi,6
Naseem Shah,10
Nasrulla Rana,7
Nasum Ahmed,9
Navdeep Saini,8
Naveen-ul-Haq,10
Nazmul Hossain Shanto,3
ND Laegsgaard,1
Nestor Dhamba,8
Niaz Ali,10
Nijat Masood,10
Nilansh Keswani,8
Nimish Lathief,6
Nizakat Khan,2
NK Patel,7
NLTC Perera,6
NM Coulter-Nile,7
NM Odhiambo,6
NN Odhiambo,5
Noor Ahmad,9
Noor Ali Zadran,3
NR Welch,2
NRJ Croes,6
NS Dhaliwal,2
NS Naik,5
NT Ellis,8
Nurul Hasan,7
O Bascome,4
O Lutbayar,6
O Manishimwe,5
O Muzondo,8
O Olaleye,3
O Thomas,11
O Tuyisenge,2
OC McCoy,11
OF Smith,8
OGL Bascome,6
OH Agbomadzie,4
OJ Hairs,3
Omair Yousuf,2
Omar Hussain,4
Omid Shafi Rahman,10
OP Stone,10
P Abanda,3
P Aho,8
P Ayoleyine,6
P Baron,1
P Byron,7
P Dubey,9
P Jayawickrama,11
P Koech,10
P Kumbhare,10
P Murungi,6
P Nissanka,1
P Sarraf,3
P Sharma,3
P Silas,6
P Simran Singh,1
P Useni,8
P Vekaria,10
PA van Meekeren,10
PADLR Sandakan,10
Pargat Singh,3
Parvez Hossain Emon,1
Pavandeep Singh,11
PBB Rajapaksa,4
PD Salt,2
PHKD Mendis,4
PJ Cummins,8
PJ Sangwan,9
PJ van Biljon,5
PK Garg,4
PK Matautaava,3
PL Bruno,7
PM Liyanagamage,9
PM Seelaar,7
PN Mankad,3
PP Chawla,8
PP Shaw,1
PR Stirling,1
Pratis GC,10
PRP Boissevain,10
PS Airee,3
PS Athavale,2
PVD Chameera,9
PWA Mulder,6
PWH de Silva,7
Q de Kock,2
Qais Ahmad,9
Qasim Akram,5
R Abdulkareem,7
R Ashwin,7
R Baaleri,5
R Bakum,3
R Chopra,6
R Coker,6
R Dhawan,8
R Escobar,5
R Gaznavi,3
R Goodwin,5
R Hekure,6
R Kalimuthu,10
R Klein,9
R Lutaaya,3
R Mbaiwa,6
R Mondol,10
R Mupfudza,1
R Mutumbami,5
R Nehonde,4
R Ngarava,10
R Obuya,3
R Parag,6
R Pathan,1
R Powell,5
R Rampaul,9
R Ravindra,5
R Rohan,2
R Sakurano-Thomas,8
R Sandaruwan,2
R Sanjay Yadav,7
R Shepherd,7
R Tari,6
R Tewatia,6
R Trumpelmann,8
RA Abolarin,10
RA Bawa,5
RA Jadeja,6
RA Reifer,5
RA Tripathi,3
Rafiullah,7
Rahmanullah Gurbaz,2
Rahmat Shah,3
Rakibul Hasan,7
Ramandeep Singh,7
Rashid Khan,8
Rasikh Salam,10
Ravi Bishnoi,9
Ravinderpal Singh,5
Razmal Shigiwal,3
RB Patel,3
RD Atangana,11
RD Berrington,4
RD Chahar,9
RD Gaikwad,1
RE van der Merwe,6
Rehan Ahmed,9
RG Mukasa,2
RG Sharma,3
RGA Amah,4
Riazat Ali Shah,4
Rishad Hossain,8
Rizwan Butt,9
Rizwan Haider,10
RJ Gleeson,11
RJG Palmer,11
RJW Topley,10
RK Kiseto,8
RK Paudel,4
RK Singh,6
RL Chase,5
RM Patidar,3
RM Scott,3
RM Siri,5
RN Patel,2
RN ten Doeschate,5
Rohail Nazir,3
Rohan Mustafa,3
Rony Talukdar,3
RP Burl,6
RP Meredith,11
RR Behera,3
RR Hendricks,2
RR Pant,4
RR Patel,5
RR Rossouw,3
RS Fernando,7
RTM Mendis,7
Rubel Hossain,10
RV Patel,7
RV Uthappa,3
RW Chakabva,3
S Bau,4
S Chandramohan,3
S Conteh,5
S Daniel,1
S Dhakal,11
S Dhawan,2
S Dube,4
S Fouch̩,8
S Gopal,8
S Jora,6
S Kaul,10
S Kollery,5
S Kubheka,10
S Lamichhane,10
S Mahmood,10
S Mathur,4
S Mba,4
S Muniandy,6
S Nadeem,9
S Navaratne,3
S Nsubuga,10
S Ogundipe,11
S Ravichandran,5
S Samal,4
S Samarawickrama,4
S Sesazi,2
S Shrivastava,9
S Singh,4
S Tarawally,11
S Thakor,7
S Thanikaithasan,4
S Udawaththa,4
S Veerapathiran,7
S Vesawkar,5
S Vijay Unni,7
S Williams,10
SA Abbott,8
SA Ahmad,4
SA Edwards,6
SA Engelbrecht,3
SA Jumbe,7
SA Okpe,8
SA Wijeratne,3
SA Yadav,4
Saad Bin Zafar,7
Saad Khan,4
Sabbir Rahman,4
Sachin Baby,6
Sachin Kumar,9
Sachin Mandy,4
Sahel Zadran,9
Sahibzada Farhan,3
Sahir Naqash,6
Saif Hassan,2
Saim Ayub,2
Salman Nazar,11
Sameer Patel,5
Sami Sohail,3
Sandeep Goud,7
Sandeep Sharma,11
Sanvir Singh,7
